2023-03-01:16:41:47,177, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [199, 0, 291]
2023-03-01:16:41:47,431, ACTION: RECEIVE, Logical Clock Time: [200, 0, 296], # of remaining messages: 0
2023-03-01:16:41:47,684, ACTION: RECEIVE, Logical Clock Time: [201, 0, 297], # of remaining messages: 0
2023-03-01:16:41:47,936, ACTION: RECEIVE, Logical Clock Time: [202, 0, 298], # of remaining messages: 1
2023-03-01:16:41:48,187, ACTION: RECEIVE, Logical Clock Time: [203, 0, 299], # of remaining messages: 1
2023-03-01:16:41:48,438, ACTION: RECEIVE, Logical Clock Time: [204, 0, 300], # of remaining messages: 0
2023-03-01:16:41:48,692, ACTION: RECEIVE, Logical Clock Time: [205, 0, 303], # of remaining messages: 0
2023-03-01:16:41:48,944, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [206, 0, 303]
2023-03-01:16:41:49,198, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [207, 0, 303]
2023-03-01:16:41:49,450, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [208, 0, 303]
2023-03-01:16:41:49,702, ACTION: RECEIVE, Logical Clock Time: [209, 0, 309], # of remaining messages: 0
2023-03-01:16:41:49,958, ACTION: RECEIVE, Logical Clock Time: [210, 0, 310], # of remaining messages: 0
2023-03-01:16:41:50,213, ACTION: RECEIVE, Logical Clock Time: [211, 0, 311], # of remaining messages: 1
2023-03-01:16:41:50,467, ACTION: RECEIVE, Logical Clock Time: [212, 0, 312], # of remaining messages: 0
2023-03-01:16:41:50,718, ACTION: INTERNAL, Logical Clock Time: [213, 0, 312]
2023-03-01:16:41:50,974, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [214, 0, 312]
2023-03-01:16:41:51,227, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [215, 0, 312]
2023-03-01:16:41:51,478, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [216, 0, 312]
2023-03-01:16:41:51,730, ACTION: RECEIVE, Logical Clock Time: [217, 0, 321], # of remaining messages: 0
2023-03-01:16:41:51,984, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [218, 0, 321]
2023-03-01:16:41:52,237, ACTION: SEND, Recipient Machine: 2, Logical Clock Time: [218, 0, 321]
2023-03-01:16:41:52,237, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [219, 0, 321]
2023-03-01:16:41:52,492, ACTION: SEND, Recipient Machine: 3, Logical Clock Time: [220, 0, 321]
2023-03-01:16:41:52,743, ACTION: RECEIVE, Logical Clock Time: [221, 0, 327], # of remaining messages: 0
2023-03-01:16:41:53,006, ACTION: RECEIVE, Logical Clock Time: [222, 0, 328], # of remaining messages: 0
2023-03-01:16:41:53,262, ACTION: RECEIVE, Logical Clock Time: [223, 0, 329], # of remaining messages: 1
2023-03-01:16:41:53,517, ACTION: RECEIVE, Logical Clock Time: [224, 0, 330], # of remaining messages: 0
2023-03-01:16:41:53,769, ACTION: RECEIVE, Logical Clock Time: [225, 0, 332], # of remaining messages: 1
2023-03-01:16:41:54,021, ACTION: RECEIVE, Logical Clock Time: [226, 0, 333], # of remaining messages: 0
2023-03-01:16:41:54,272, ACTION: RECEIVE, Logical Clock Time: [227, 0, 335], # of remaining messages: 0
2023-03-01:16:41:54,526, ACTION: RECEIVE, Logical Clock Time: [228, 0, 337], # of remaining messages: 0
2023-03-01:16:41:54,782, ACTION: RECEIVE, Logical Clock Time: [229, 0, 338], # of remaining messages: 0
2023-03-01:16:41:55,033, ACTION: RECEIVE, Logical Clock Time: [230, 0, 340], # of remaining messages: 0
2023-03-01:16:41:55,287, ACTION: RECEIVE, Logical Clock Time: [231, 0, 341], # of remaining messages: 0
